code,system
12G2.00,readv2
L180100,readv2
L180300,readv2
L180800,readv2
C108412,readv2
C108411,readv2
66AJ.11,readv2
C10E412,readv2
C10E400,readv2
C10E411,readv2
C108400,readv2
C109C12,readv2
C10ED00,readv2
K08yA11,readv2
C108D11,readv2
C10ED12,readv2
C10FC11,readv2
C104z00,readv2
C108D00,readv2
1IA..00,readv2
C104.11,readv2
C109C00,readv2
C109C11,readv2
C10FC00,readv2
2G5B.00,readv2
66At011,readv2
9N2i.00,readv2
C109E12,readv2
R054300,readv2
13B1000,readv2
F372.12,readv2
66AJ.00,readv2
9N1Q.00,readv2
2G5G.00,readv2
9b92000,readv2
66AO.00,readv2
13AB.00,readv2
66AG.00,readv2
C10FE11,readv2
C109E00,readv2
SL23.00,readv2
C108F12,readv2
66AI.00,readv2
42WZ.00,readv2
C108F00,readv2
R054200,readv2
13B1.00,readv2
66o5.00,readv2
2G5A.00,readv2
66AH.00,readv2
66At100,readv2
M037200,readv2
C10EF00,readv2
42c..00,readv2
13Y1.00,readv2
2G5K.00,readv2
66A4.00,readv2
9N1v.00,readv2
C108F11,readv2
C10EF12,readv2
ZLA2500,readv2
C109E11,readv2
F440700,readv2
N030011,readv2
66AV.00,readv2
9Oy0400,readv2
66At.00,readv2
66As.00,readv2
9NJy.00,readv2
66AN.00,readv2
42W..00,readv2
66AJz00,readv2
66At000,readv2
66Ac.00,readv2
F372200,readv2
66At111,readv2
8IAs.00,readv2
8A13.00,readv2
C10FE00,readv2
8CA4100,readv2
66AK.00,readv2
66A3.00,readv2
F464000,readv2
9Oy0300,readv2
13AC.00,readv2
8H2J.00,readv2
9N0m.00,readv2
66A5.00,readv2
F3y0.00,readv2
9Oy0000,readv2
9N1i.00,readv2
C109712,readv2
C109711,readv2
C108812,readv2
C10F711,readv2
C10F700,readv2
C10E800,readv2
C10E811,readv2
C108811,readv2
C10EP11,readv2
C10FQ00,readv2
C10EP00,readv2
F420400,readv2
2BBL.00,readv2
2BBW.00,readv2
2BBX.00,readv2
2BBM.00,readv2
8I6G.00,readv2
8I6F.00,readv2
C108800,readv2
C108.00,readv2
C10E612,readv2
C10FJ00,readv2
C100112,readv2
C109J00,readv2
C109000,readv2
C108900,readv2
C10FJ11,readv2
C10E.12,readv2
C100011,readv2
C10E812,readv2
C109J11,readv2
C10E912,readv2
C109J12,readv2
C109.11,readv2
C109.00,readv2
C108.11,readv2
C108600,readv2
C108300,readv2
C10E312,readv2
ZRbH.00,readv2
C109900,readv2
ZC2C911,readv2
C109500,readv2
ZC2CA00,readv2
ZC2C800,readv2
ZC2C900,readv2
8HTe.00,readv2
8HHy.00,readv2
ZL62600,readv2
67W1.00,readv2
ZL62500,readv2
8IEa.00,readv2
8H4e.00,readv2
8Hl1.00,readv2
8H7C.00,readv2
8H7f.00,readv2
8Hlc.00,readv2
8IEQ.00,readv2
8Hl4.00,readv2
8HTk.00,readv2
8HTE100,readv2
8H4F.00,readv2
8HVU.00,readv2
C108000,readv2
C10F311,readv2
C10E300,readv2
C10EA00,readv2
C109011,readv2
C10EA12,readv2
C10E012,readv2
C10F211,readv2
C108212,readv2
C10E011,readv2
C109911,readv2
C108012,readv2
C10F300,readv2
C10E200,readv2
C100100,readv2
C109012,readv2
C108011,readv2
C108311,readv2
C10F011,readv2
C109912,readv2
C10z.00,readv2
C100z00,readv2
C10EA11,readv2
C10E000,readv2
C109212,readv2
C10F000,readv2
C10zz00,readv2
C108A00,readv2
C10F200,readv2
C108211,readv2
C109312,readv2
C100.00,readv2
C108A11,readv2
C108A12,readv2
C108z00,readv2
C10E311,readv2
C10F911,readv2
C109211,readv2
C10F900,readv2
C10z100,readv2
Cyu2300,readv2
9OLA.11,readv2
9OL5.00,readv2
66Ak.00,readv2
9OLZ.00,readv2
66o..00,readv2
9OL3.00,readv2
9OL6.00,readv2
66AZ.00,readv2
9OL2.00,readv2
9OL9.00,readv2
9OL4.00,readv2
66b1.00,readv2
8A12.00,readv2
9OL1.00,readv2
66Al.00,readv2
9OL..00,readv2
66A..00,readv2
9OLN.00,readv2
C10F511,readv2
C10F500,readv2
C109512,readv2
C107.12,readv2
C109511,readv2
C107.11,readv2
C10E600,readv2
C10E611,readv2
C10FH00,readv2
C10FH11,readv2
C108J00,readv2
C10FG11,readv2
C109G00,readv2
C109G11,readv2
C108H11,readv2
C10FG00,readv2
C10EJ00,readv2
C108H00,readv2
C109G12,readv2
C108J11,readv2
C109H12,readv2
C10EH00,readv2
C108J12,readv2
C109H11,readv2
N030100,readv2
N030000,readv2
13LZ.11,readv2
C108912,readv2
C100111,readv2
C10E900,readv2
C10E911,readv2
C108911,readv2
C10EC11,readv2
C109B00,readv2
C10EC12,readv2
C108C00,readv2
C10FB00,readv2
C109B12,readv2
F372.11,readv2
C106.13,readv2
C10FB11,readv2
C109200,readv2
F372.00,readv2
C10EC00,readv2
C109B11,readv2
2BBV.00,readv2
F420800,readv2
F420600,readv2
2BBT.00,readv2
F420700,readv2
F420100,readv2
2BBl.00,readv2
2BBR.00,readv2
2BBk.00,readv2
F420200,readv2
2BBS.00,readv2
ZRB4.11,readv2
8CMW700,readv2
9NM0.00,readv2
ZRB4.00,readv2
C109300,readv2
8HTi.00,readv2
9N1o.00,readv2
C10F600,readv2
F420.00,readv2
2BBr.00,readv2
2BBJ.00,readv2
9m01.00,readv2
9m04.00,readv2
2BBK.00,readv2
68A7.00,readv2
F420z00,readv2
68A9.00,readv2
9m06.00,readv2
C10E712,readv2
C108712,readv2
9m00.00,readv2
9m05.00,readv2
C108711,readv2
C10E700,readv2
C109611,readv2
C109612,readv2
C10F611,readv2
9N4p.00,readv2
C10E711,readv2
8I3X.00,readv2
2BBo.00,readv2
C109600,readv2
9m0A.00,readv2
9m08.00,readv2
C108700,readv2
C10EE12,readv2
C109D11,readv2
C10EE00,readv2
C10FD11,readv2
C10FD00,readv2
C108E00,readv2
C108E11,readv2
C109D12,readv2
C108E12,readv2
C109D00,readv2
C10EN11,readv2
C10FP11,readv2
C10FP00,readv2
C103.00,readv2
C103z00,readv2
C10EN00,readv2
C103100,readv2
C103000,readv2
F420500,readv2
8HKE.00,readv2
8HLE.00,readv2
F420300,readv2
9m0D.00,readv2
66Aq.00,readv2
9m0B.00,readv2
9NND.00,readv2
9m0E.00,readv2
9m09.00,readv2
9m07.00,readv2
6872,readv2
8H7r.00,readv2
9m0C.00,readv2
C108200,readv2
C10E212,readv2
C107200,readv2
C10ER00,readv2
C10EM00,readv2
C101.00,readv2
C101100,readv2
C10FN11,readv2
C10FN00,readv2
C101000,readv2
C101z00,readv2
C10EM11,readv2
38DK.00,readv2
38Gv.00,readv2
ZV18000,readv2
ZV19800,readv2
1252000,readv2
1252111,readv2
1228,readv2
1154200,readv2
1252100,readv2
ZV18011,readv2
C10E.11,readv2
14O8000,readv2
C10F.00,readv2
L180400,readv2
C10E.00,readv2
C10..00,readv2
1434,readv2
C109.13,readv2
C108.12,readv2
14O8.00,readv2
C109.12,readv2
Kyu0300,readv2
Cyu2.00,readv2
C10FS00,readv2
1JL..00,readv2
C10F.11,readv2
C108.13,readv2
C10M.00,readv2
1252,readv2
C108512,readv2
C10E512,readv2
2G5L.00,readv2
M271200,readv2
C10E511,readv2
C109412,readv2
C109411,readv2
M271100,readv2
M271000,readv2
2G5V.00,readv2
C108511,readv2
C108500,readv2
2G5H.00,readv2
C10E500,readv2
C109400,readv2
2G5W.00,readv2
C10F400,readv2
C10F411,readv2
ZV77100,readv2
ZV77111,readv2
46Z0.00,readv2
C105100,readv2
C10F100,readv2
C10E100,readv2
C108112,readv2
C10F111,readv2
C108100,readv2
C105.00,readv2
C109100,readv2
C109111,readv2
C105z00,readv2
C10E112,readv2
C10E111,readv2
C109112,readv2
C10P000,readv2
C10P111,readv2
C10P100,readv2
C10P011,readv2
C10P.00,readv2
66AS000,readv2
9NN9.00,readv2
66AQ100,readv2
9NN8.00,readv2
66AQ.00,readv2
66AU.00,readv2
8HgC.00,readv2
8CS0.00,readv2
8IE2.00,readv2
8Hj1.00,readv2
ZL22500,readv2
679L300,readv2
66AQ000,readv2
8CP2.00,readv2
8Hg4.00,readv2
66AX.00,readv2
9OLC.00,readv2
8OAH.00,readv2
8OA3.00,readv2
8OAK.00,readv2
9OLD.00,readv2
68AB.00,readv2
9N2d.00,readv2
44V3.00,readv2
8HME.00,readv2
C11y500,readv2
R102.11,readv2
66An.00,readv2
66Ao.00,readv2
66A1.00,readv2
66AW.00,readv2
C102z00,readv2
C102000,readv2
C102.00,readv2
C102100,readv2
8Hj5.00,readv2
9OLF.00,readv2
67H9.00,readv2
8I94.00,readv2
8Hj3.00,readv2
9OLL.00,readv2
9NiA.00,readv2
8I82.00,readv2
66Af.00,readv2
9OLH.00,readv2
67HA.00,readv2
9OLM.00,readv2
9OLB.00,readv2
8I83.00,readv2
9OLK.00,readv2
3881,readv2
8I84.00,readv2
9NiE.00,readv2
9NiD.00,readv2
679L.00,readv2
8Hj4.00,readv2
679R.00,readv2
8Hj0.00,readv2
9OLG.00,readv2
9OLJ.00,readv2
ZRBa.00,readv2
9NiC.00,readv2
14F4.00,readv2
8H3O.00,readv2
K27y700,readv2
66Av.00,readv2
66o1.00,readv2
66Au.00,readv2
7276,readv2
66Aa.00,readv2
66AY.00,readv2
C106.11,readv2
F381311,readv2
C109F11,readv2
C10EG00,readv2
C108G00,readv2
C10FF11,readv2
C10FF00,readv2
G73y000,readv2
C109F12,readv2
9h43.00,readv2
9h41.00,readv2
9h4..00,readv2
38DM.00,readv2
8CR2.00,readv2
38DE.00,readv2
679L000,readv2
C106100,readv2
C105000,readv2
661N400,readv2
66AR.00,readv2
661M400,readv2
U60231E,readv2
TJ23z00,readv2
U602311,readv2
TJ23.00,readv2
C109A11,readv2
C106.12,readv2
F171100,readv2
C10EB00,readv2
C10FA00,readv2
C108B00,readv2
C10FA11,readv2
C108B11,readv2
66A2.00,readv2
2G5I.00,readv2
2G5E.00,readv2
2G51100,readv2
2BBG.00,readv2
2G5D.00,readv2
66Az.00,readv2
66AT.00,readv2
66AS.00,readv2
66AP.00,readv2
ZRB6.11,readv2
3882,readv2
ZRB6.00,readv2
889A.00,readv2
F372000,readv2
F372100,readv2
1M8..00,readv2
C107100,readv2
C107z00,readv2
C107.00,readv2
C107000,readv2
C10A500,readv2
13L4.11,readv2
L180.00,readv2
L180z00,readv2
2G5J.00,readv2
2G5F.00,readv2
9m03.00,readv2
9m02.00,readv2
66A9.00,readv2
9OLA.00,readv2
66AD.00,readv2
66AH200,readv2
9N0o.00,readv2
9N0n.00,readv2
F35z000,readv2
C109A00,readv2
F345000,readv2
2G5e.00,readv2
2G5d.00,readv2
9N4I.00,readv2
9NiZ.00,readv2
2BBF.00,readv2
2G5C.00,readv2
2G51000,readv2
67D8.00,readv2
66AL.00,readv2
8BL2.00,readv2
ZRB5.11,readv2
3883,readv2
ZRB5.00,readv2
C104100,readv2
C104.00,readv2
C106.00,readv2
C106000,readv2
C104000,readv2
C106z00,readv2
L180000,readv2
C10z000,readv2
66Ab.00,readv2
8I3W.00,readv2
9Nl4.00,readv2
8CE0.00,readv2
93C4.00,readv2
212H.00,readv2
2126300,readv2
C10C.00,readv2
C10D.00,readv2
ZLD7500,readv2
9OL7.00,readv2
9OL8.00,readv2
C10EQ00,readv2
C10FR00,readv2
C10EQ11,readv2
8B3l.00,readv2
66o2.00,readv2
1253,readv2
9Oy0200,readv2
C10EL00,readv2
C10FM11,readv2
C10FM00,readv2
C10EL11,readv2
K08yA00,readv2
8I81.00,readv2
C10FL00,readv2
C10FL11,readv2
C10EK00,readv2
67IJ100,readv2
C109700,readv2
66Ai.00,readv2
8HBG.00,readv2
8HBH.00,readv2
9h42.00,readv2
2BBQ.00,readv2
2BBP.00,readv2
F420000,readv2
66AA.11,readv2
679l.00,readv2
679L211,readv2
679L200,readv2
9M10.00,readv2
9M00.00,readv2
C314.11,readv2
C350011,readv2
66A8.00,readv2
38Gj.00,readv2
66AJ100,readv2
918T.00,readv2
6761,readv2
ZV65312,readv2
L180X00,readv2
L180600,readv2
L180500,readv2
8I57.00,readv2
9360,readv2
66AM.00,readv2
C109K00,readv2
9m0..00,readv2
C10FK11,readv2
C10FK00,readv2
9Oy..00,readv2
9OL..11,readv2
9Oy0.00,readv2
C100000,readv2